City,lat,lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Davila,18.4726,120.5763,24.04,79,30,12.31,PH,1644058880
Alice Springs,-23.7,133.8833,22.75,43,0,3.09,AU,1644058881
Chokurdakh,70.6333,147.9167,-35.42,100,66,0.11,RU,1644058330
Vestmannaeyjar,63.4427,-20.2734,-0.26,58,100,10.01,IS,1644058881
Safaga,26.7292,33.9365,18.16,43,1,6.53,EG,1644058602
Necochea,-38.5473,-58.7368,16.13,84,100,5.63,AR,1644058882
Luwuk,-0.9516,122.7875,26.38,88,100,0.98,ID,1644058882
Kaeo,-35.1,173.7833,22.4,97,99,3.59,NZ,1644058882
Nagato,34.3833,131.2,2.95,52,88,9.28,JP,1644058882
Chik,54.9928,82.4311,-8.14,57,0,4.0,RU,1644058882
Gamba,-2.65,10.0,28.84,63,43,3.58,GA,1644058883
Villarrica,-25.75,-56.4333,21.96,99,100,1.85,PY,1644058883
Srednekolymsk,67.45,153.6833,-38.52,100,57,1.17,RU,1644058884
Kavieng,-2.5744,150.7967,28.01,76,85,3.33,PG,1644058341
Robertsport,6.7533,-11.3686,27.67,72,17,1.09,LR,1644058884
Soe,-9.8607,124.284,21.07,91,98,0.64,ID,1644058612
Jalu,29.0331,21.5482,15.37,48,0,2.09,LY,1644058884
Sheridan,44.8333,-106.9173,6.28,30,0,2.24,US,1644058884
Lavrentiya,65.5833,-171.0,-26.25,94,17,4.08,RU,1644058336
Lompoc,34.6391,-120.4579,12.33,82,0,3.6,US,1644058332
Meulaboh,4.1363,96.1285,27.37,78,82,2.48,ID,1644058588
Amboise,47.4125,0.9827,6.61,83,0,3.09,FR,1644058885
Hambantota,6.1241,81.1185,31.19,70,20,3.6,LK,1644058807
Kapaa,22.0752,-159.319,20.18,59,40,0.45,US,1644058339
Umluj,25.0213,37.2685,20.29,43,1,6.21,SA,1644058886
